uri,prefLabel,broader,inScheme,topConceptOf
conceptscheme:diercategorie,diercategorie,,,
9fb35e5146a975b1f348fbcd028072d8,Geiten ouder dan 1 jaar,fba36ce54dc876621e740aa2f5187dec,conceptscheme:diercategorie,
9fb35e5146a975b1f348fbcd028072d8,Geiten ouder dan 1 jaar,fba36ce54dc876621e740aa2f5187dec,conceptscheme:diercategorie,
9fb35e5146a975b1f348fbcd028072d8,Geiten ouder dan 1 jaar,fba36ce54dc876621e740aa2f5187dec,conceptscheme:diercategorie,
9fb35e5146a975b1f348fbcd028072d8,Geiten ouder dan 1 jaar,fba36ce54dc876621e740aa2f5187dec,conceptscheme:diercategorie,
9fb35e5146a975b1f348fbcd028072d8,Geiten ouder dan 1 jaar,fba36ce54dc876621e740aa2f5187dec,conceptscheme:diercategorie,
9fb35e5146a975b1f348fbcd028072d8,Geiten ouder dan 1 jaar,fba36ce54dc876621e740aa2f5187dec,conceptscheme:diercategorie,
537a5fe196787a37246fb2e8934c69ce,Opfokgeiten en afmestlammeren tot en met 60 dagen,fba36ce54dc876621e740aa2f5187dec,conceptscheme:diercategorie,
fb7aa4fbb3d8cb693051cdfe88d9f1fa,Opfokgeiten van 61 dagen tot en met één jaar,fba36ce54dc876621e740aa2f5187dec,conceptscheme:diercategorie,
48af8da7f326974040f41bc616ec3631,Vlees en opfokkonijnen tot dekleeftijd,e676ea924b33f8bda63e8f827437b663,conceptscheme:diercategorie,
68c3a52e770d947355771e732529dfda,"Voedsters inclusief 0,15 ram en bijbehorende jongen tot speenleeftijd",e676ea924b33f8bda63e8f827437b663,conceptscheme:diercategorie,
a7d42615b4d91a2d00e4efb9468c1a8a,Nertsen (per fokteef),77741fd00385becebb6db894007647e8,conceptscheme:diercategorie,
a7d42615b4d91a2d00e4efb9468c1a8a,Nertsen (per fokteef),77741fd00385becebb6db894007647e8,conceptscheme:diercategorie,
1ec3f647e2eb5a74d7786ed74b81268b,Paarden in opfok (jonger dan 3 jaar),d9fd7c30def22e286e5572fbea550671,conceptscheme:diercategorie,
4b209eabbd5324e480134415a116f377,Pony's in opfok (jonger dan 3 jaar),d9fd7c30def22e286e5572fbea550671,conceptscheme:diercategorie,
e97228d1bb905c517f5d83754bb21372,Volwassen paarden (3 jaar en ouder),d9fd7c30def22e286e5572fbea550671,conceptscheme:diercategorie,
13d2845e465013f96913f6f6491fd28a,Volwassen pony's (3 jaar en ouder),d9fd7c30def22e286e5572fbea550671,conceptscheme:diercategorie,
c34d684c649907eeb63f5a8f7237237a,Opfokstruisvogels (tot 4 maanden),199fa216c056dbb2960b1df28dd94710,conceptscheme:diercategorie,
48be1a9d0d80a3ad59360cad8655fcb3,Ouderdieren van vleeskalkoenen in opfok; tot 6 weken,199fa216c056dbb2960b1df28dd94710,conceptscheme:diercategorie,
43b33d8f31aac8d4ba27007f2d3b5f0f,Ouderdieren van vleeskalkoenen in opfok; van 6 tot 30 weken,199fa216c056dbb2960b1df28dd94710,conceptscheme:diercategorie,
59d930762c9029840e34ad96583715bd,Ouderdieren van vleeskalkoenen van 30 weken en ouder,199fa216c056dbb2960b1df28dd94710,conceptscheme:diercategorie,
569c77f07559c1608831989b5e82b018,P-1 + P-2 Opfok legkippen,199fa216c056dbb2960b1df28dd94710,conceptscheme:diercategorie,
569c77f07559c1608831989b5e82b018,P-1 + P-2 Opfok legkippen,199fa216c056dbb2960b1df28dd94710,conceptscheme:diercategorie,
569c77f07559c1608831989b5e82b018,P-1 + P-2 Opfok legkippen,199fa216c056dbb2960b1df28dd94710,conceptscheme:diercategorie,
569c77f07559c1608831989b5e82b018,P-1 + P-2 Opfok legkippen,199fa216c056dbb2960b1df28dd94710,conceptscheme:diercategorie,
569c77f07559c1608831989b5e82b018,P-1 + P-2 Opfok legkippen,199fa216c056dbb2960b1df28dd94710,conceptscheme:diercategorie,
569c77f07559c1608831989b5e82b018,P-1 + P-2 Opfok legkippen,199fa216c056dbb2960b1df28dd94710,conceptscheme:diercategorie,
569c77f07559c1608831989b5e82b018,P-1 + P-2 Opfok legkippen,199fa216c056dbb2960b1df28dd94710,conceptscheme:diercategorie,
569c77f07559c1608831989b5e82b018,P-1 + P-2 Opfok legkippen,199fa216c056dbb2960b1df28dd94710,conceptscheme:diercategorie,
569c77f07559c1608831989b5e82b018,P-1 + P-2 Opfok legkippen,199fa216c056dbb2960b1df28dd94710,conceptscheme:diercategorie,
569c77f07559c1608831989b5e82b018,P-1 + P-2 Opfok legkippen,199fa216c056dbb2960b1df28dd94710,conceptscheme:diercategorie,
569c77f07559c1608831989b5e82b018,P-1 + P-2 Opfok legkippen,199fa216c056dbb2960b1df28dd94710,conceptscheme:diercategorie,
569c77f07559c1608831989b5e82b018,P-1 + P-2 Opfok legkippen,199fa216c056dbb2960b1df28dd94710,conceptscheme:diercategorie,
569c77f07559c1608831989b5e82b018,P-1 + P-2 Opfok legkippen,199fa216c056dbb2960b1df28dd94710,conceptscheme:diercategorie,
569c77f07559c1608831989b5e82b018,P-1 + P-2 Opfok legkippen,199fa216c056dbb2960b1df28dd94710,conceptscheme:diercategorie,
569c77f07559c1608831989b5e82b018,P-1 + P-2 Opfok legkippen,199fa216c056dbb2960b1df28dd94710,conceptscheme:diercategorie,
569c77f07559c1608831989b5e82b018,P-1 + P-2 Opfok legkippen,199fa216c056dbb2960b1df28dd94710,conceptscheme:diercategorie,
569c77f07559c1608831989b5e82b018,P-1 + P-2 Opfok legkippen,199fa216c056dbb2960b1df28dd94710,conceptscheme:diercategorie,
569c77f07559c1608831989b5e82b018,P-1 + P-2 Opfok legkippen,199fa216c056dbb2960b1df28dd94710,conceptscheme:diercategorie,
569c77f07559c1608831989b5e82b018,P-1 + P-2 Opfok legkippen,199fa216c056dbb2960b1df28dd94710,conceptscheme:diercategorie,
569c77f07559c1608831989b5e82b018,P-1 + P-2 Opfok legkippen,199fa216c056dbb2960b1df28dd94710,conceptscheme:diercategorie,
569c77f07559c1608831989b5e82b018,P-1 + P-2 Opfok legkippen,199fa216c056dbb2960b1df28dd94710,conceptscheme:diercategorie,
569c77f07559c1608831989b5e82b018,P-1 + P-2 Opfok legkippen,199fa216c056dbb2960b1df28dd94710,conceptscheme:diercategorie,
569c77f07559c1608831989b5e82b018,P-1 + P-2 Opfok legkippen,199fa216c056dbb2960b1df28dd94710,conceptscheme:diercategorie,
0b91929d5312613e17867fd74fe03ce7,P-3 + P-4 Legkippen incl. (groot)ouderdieren van legrassen,199fa216c056dbb2960b1df28dd94710,conceptscheme:diercategorie,
0b91929d5312613e17867fd74fe03ce7,P-3 + P-4 Legkippen incl. (groot)ouderdieren van legrassen,199fa216c056dbb2960b1df28dd94710,conceptscheme:diercategorie,
0b91929d5312613e17867fd74fe03ce7,P-3 + P-4 Legkippen incl. (groot)ouderdieren van legrassen,199fa216c056dbb2960b1df28dd94710,conceptscheme:diercategorie,
0b91929d5312613e17867fd74fe03ce7,P-3 + P-4 Legkippen incl. (groot)ouderdieren van legrassen,199fa216c056dbb2960b1df28dd94710,conceptscheme:diercategorie,
