uri,prefLabel,inScheme,topConceptOf,narrower,reducerende_maatregel,diercategorie,broader
dca:fba36ce54dc876621e740aa2f5187dec,Geiten,conceptscheme:diercategorie,conceptscheme:diercategorie,,,,
dca:9fb35e5146a975b1f348fbcd028072d8,Geiten ouder dan 1 jaar,conceptscheme:diercategorie,,,,,dca:fba36ce54dc876621e740aa2f5187dec
dca:e676ea924b33f8bda63e8f827437b663,Konijnen,conceptscheme:diercategorie,conceptscheme:diercategorie,,,,
dca:77741fd00385becebb6db894007647e8,Nertsen,conceptscheme:diercategorie,conceptscheme:diercategorie,,,,
dca:a7d42615b4d91a2d00e4efb9468c1a8a,Nertsen (per fokteef),conceptscheme:diercategorie,,,,,dca:77741fd00385becebb6db894007647e8
dca:537a5fe196787a37246fb2e8934c69ce,Opfokgeiten en afmestlammeren tot en met 60 dagen,conceptscheme:diercategorie,,,,,dca:fba36ce54dc876621e740aa2f5187dec
dca:fb7aa4fbb3d8cb693051cdfe88d9f1fa,Opfokgeiten van 61 dagen tot en met één jaar,conceptscheme:diercategorie,,,,,dca:fba36ce54dc876621e740aa2f5187dec
dca:c34d684c649907eeb63f5a8f7237237a,Opfokstruisvogels (tot 4 maanden),conceptscheme:diercategorie,,,,,dca:199fa216c056dbb2960b1df28dd94710
dca:48be1a9d0d80a3ad59360cad8655fcb3,Ouderdieren van vleeskalkoenen in opfok; tot 6 weken,conceptscheme:diercategorie,,,,,dca:199fa216c056dbb2960b1df28dd94710
dca:43b33d8f31aac8d4ba27007f2d3b5f0f,Ouderdieren van vleeskalkoenen in opfok; van 6 tot 30 weken,conceptscheme:diercategorie,,,,,dca:199fa216c056dbb2960b1df28dd94710
dca:59d930762c9029840e34ad96583715bd,Ouderdieren van vleeskalkoenen van 30 weken en ouder,conceptscheme:diercategorie,,,,,dca:199fa216c056dbb2960b1df28dd94710
dca:569c77f07559c1608831989b5e82b018,P-1 + P-2 Opfok legkippen,conceptscheme:diercategorie,,,,,dca:199fa216c056dbb2960b1df28dd94710
dca:0b91929d5312613e17867fd74fe03ce7,P-3 + P-4 Legkippen incl. (groot)ouderdieren van legrassen,conceptscheme:diercategorie,,,,,dca:199fa216c056dbb2960b1df28dd94710
dca:ba8170ee9317780efc26d47fb08e7f40,P-5 Slachtkuikenouderdieren,conceptscheme:diercategorie,,,,,dca:199fa216c056dbb2960b1df28dd94710
dca:5ca35b6b0e77d6cad81d6506742d92ac,P-6 Slachtkuikens,conceptscheme:diercategorie,,,,,dca:199fa216c056dbb2960b1df28dd94710
dca:4ca5d1ae4bb15368ff5bcba40fdd52ce,P-7 Opfok slachtkuikenouderdieren,conceptscheme:diercategorie,,,,,dca:199fa216c056dbb2960b1df28dd94710
dca:d9fd7c30def22e286e5572fbea550671,Paarden en pony's,conceptscheme:diercategorie,conceptscheme:diercategorie,,,,
dca:1ec3f647e2eb5a74d7786ed74b81268b,Paarden in opfok (jonger dan 3 jaar),conceptscheme:diercategorie,,,,,dca:d9fd7c30def22e286e5572fbea550671
dca:199fa216c056dbb2960b1df28dd94710,Pluimvee,conceptscheme:diercategorie,conceptscheme:diercategorie,,,,
dca:4b209eabbd5324e480134415a116f377,Pony's in opfok (jonger dan 3 jaar),conceptscheme:diercategorie,,,,,dca:d9fd7c30def22e286e5572fbea550671
dca:c6a392b5afa28084beeee2f0e1a52b64,R-1 Melk- en kalfkoeien ouder dan 2 jaar,conceptscheme:diercategorie,,,,,dca:d5b3bd16c0dfa184020ed0277b0de347
dca:b9fb63e63c1c13e3f0b19fe46eafa700,R-2 Zoogkoeien ouder dan 2 jaar,conceptscheme:diercategorie,,,,,dca:d5b3bd16c0dfa184020ed0277b0de347
dca:d1955e100dfc6266c4475a5a7a5f12d5,R-3 Vrouwelijk jongvee tot 2 jaar,conceptscheme:diercategorie,,,,,dca:d5b3bd16c0dfa184020ed0277b0de347
dca:614d9b3f9867315253f764aeded6df6e,R-4 Vleeskalveren tot 8 maanden,conceptscheme:diercategorie,,,,,dca:d5b3bd16c0dfa184020ed0277b0de347
dca:bba98f3431eebe0ed9c2a44787a817be,R-5 Vleesstierkalveren tot 6 maanden,conceptscheme:diercategorie,,,,,dca:d5b3bd16c0dfa184020ed0277b0de347
dca:78a7bce2a3245a95d6b9f7543f332de5,R-6 Vleesstieren en overig vleesvee van 6 tot 24 maanden (roodvleesproductie),conceptscheme:diercategorie,,,,,dca:d5b3bd16c0dfa184020ed0277b0de347
dca:7b5f7873a6dc66adf697514fe5ef1d07,R-7 Fokstieren en overig rundvee (bv. reforme zoogkoe) ouder dan 2 jaar,conceptscheme:diercategorie,,,,,dca:d5b3bd16c0dfa184020ed0277b0de347
dca:d5b3bd16c0dfa184020ed0277b0de347,Runderen,conceptscheme:diercategorie,conceptscheme:diercategorie,,,,
dca:42371675ac2933265b0f6319daeff3ba,Schapen,conceptscheme:diercategorie,conceptscheme:diercategorie,,,,
dca:650476346cc24d1bbb7434e907c4d0b5,"Schapen ouder dan 1 jaar, inclusief lammeren tot 45 kg (stalperiode van maximaal 3 maanden in winter)",conceptscheme:diercategorie,,,,,dca:42371675ac2933265b0f6319daeff3ba
dca:4870b8f44816e0a9952885a906beafae,Struisvogelouderdieren,conceptscheme:diercategorie,,,,,dca:199fa216c056dbb2960b1df28dd94710
dca:d0fe3780c6ce579284b98ca8bc7de1d9,V-1 Biggen,conceptscheme:diercategorie,,,,,dca:cca6225bdac54ebddbde06e1d6208605
dca:8c2dffa0c3f37d5acb1d2dbd9b0d4218,V-2 Kraamzeugen,conceptscheme:diercategorie,,,,,dca:cca6225bdac54ebddbde06e1d6208605
dca:143ff987d8746e2cf68114ec8a251d48,V-3 Zeugen in dek- en drachtstal,conceptscheme:diercategorie,,,,,dca:cca6225bdac54ebddbde06e1d6208605
dca:ed1f3facf5b4413c8ea0bea66ae11715,V-4 Vleesvarkens,conceptscheme:diercategorie,,,,,dca:cca6225bdac54ebddbde06e1d6208605
dca:76cbbc3330bfc989051971e4bc735dd9,"V-5 Dekberen, 7 maanden en ouder",conceptscheme:diercategorie,,,,,dca:cca6225bdac54ebddbde06e1d6208605
dca:cca6225bdac54ebddbde06e1d6208605,Varkens,conceptscheme:diercategorie,conceptscheme:diercategorie,,,,
dca:48af8da7f326974040f41bc616ec3631,Vlees en opfokkonijnen tot dekleeftijd,conceptscheme:diercategorie,,,,,dca:e676ea924b33f8bda63e8f827437b663
dca:15847b002ff45ed2b1363b201386df2c,Vleeskalkoenen,conceptscheme:diercategorie,,,,,dca:199fa216c056dbb2960b1df28dd94710
dca:964757cbc7e777f23bca15057bb3443d,Vleesstruisvogels (4 tot 12 maanden),conceptscheme:diercategorie,,,,,dca:199fa216c056dbb2960b1df28dd94710
dca:68c3a52e770d947355771e732529dfda,"Voedsters inclusief 0,15 ram en bijbehorende jongen tot speenleeftijd",conceptscheme:diercategorie,,,,,dca:e676ea924b33f8bda63e8f827437b663
dca:e97228d1bb905c517f5d83754bb21372,Volwassen paarden (3 jaar en ouder),conceptscheme:diercategorie,,,,,dca:d9fd7c30def22e286e5572fbea550671
dca:13d2845e465013f96913f6f6491fd28a,Volwassen pony's (3 jaar en ouder),conceptscheme:diercategorie,,,,,dca:d9fd7c30def22e286e5572fbea550671
rm:93aa4f339043bc222ee2e16ee1fc1d1b,Directe afvoer van de mest of bij opslag gedurende max 2 weken in een gesloten mestopslag of een afgedekte container,conceptscheme:reducerende_maatregelen,conceptscheme:reducerende_maatregelen,,,,
rm:bd5376ea29b1761e634477d3895034a2,Nabehandeling van de voorgedroogde mest in een droogtunnel met dichte banden,conceptscheme:reducerende_maatregelen,conceptscheme:reducerende_maatregelen,,,,
rm:c340b8a2ab4dc8a5025ee41cafb87fdb,Nabehandeling van de voorgedroogde mest in een droogtunnel met geperforeerde banden of platen,conceptscheme:reducerende_maatregelen,conceptscheme:reducerende_maatregelen,,,,
rm:9162d5163535f4ddb98a5c0495ab1b14,Opslag in een gesloten mestopslag of een afgedekte container gedurende meer dan 2 weken,conceptscheme:reducerende_maatregelen,conceptscheme:reducerende_maatregelen,,,,
rm:b5b451f56b8e904431013dc511fbc32a,PAS G-1.1 Beweiden in combinatie met leegstand en lege mestopslag in de stal (minimum 100 aaneengesloten dagen per jaar met onbeperkte weidegang (24u/24u)) (enkel voor geiten in vleesproductie),conceptscheme:reducerende_maatregelen,conceptscheme:reducerende_maatregelen,,,,
rm:8d0879461d4ff6bdeb604a878b6ef22f,PAS G-1.1 Beweiden in combinatie met leegstand en lege mestopslag in de stal (minimum 125 aaneengesloten dagen per jaar met onbeperkte weidegang (24u/24u)) (enkel voor geiten in vleesproductie),conceptscheme:reducerende_maatregelen,conceptscheme:reducerende_maatregelen,,,,
rm:36ffd4fd098dbc4bdda52d3df163cb74,PAS G-1.1 Beweiden in combinatie met leegstand en lege mestopslag in de stal (minimum 150 aaneengesloten dagen per jaar met onbeperkte weidegang (24u/24u)) (enkel voor geiten in vleesproductie),conceptscheme:reducerende_maatregelen,conceptscheme:reducerende_maatregelen,,,,
rm:3c2791b655b217fb80012c15e5058ded,PAS G-1.1 Beweiden in combinatie met leegstand en lege mestopslag in de stal (minimum 175 aaneengesloten dagen per jaar met onbeperkte weidegang (24u/24u)) (enkel voor geiten in vleesproductie),conceptscheme:reducerende_maatregelen,conceptscheme:reducerende_maatregelen,,,,
rm:518bc86f869cb32d55d109c5fd5e4a04,PAS G-1.1 Beweiden in combinatie met leegstand en lege mestopslag in de stal (minimum 200 aaneengesloten dagen per jaar met onbeperkte weidegang (24u/24u)) (enkel voor geiten in vleesproductie),conceptscheme:reducerende_maatregelen,conceptscheme:reducerende_maatregelen,,,,
rm:31e40a825d95aa53c61fd7af62073cb7,PAS P-2.1. Leegstand: minimum 10 weken leegstand tussen 2 ronden,conceptscheme:reducerende_maatregelen,conceptscheme:reducerende_maatregelen,,,,
